Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Rapp-Hodgkin syndrome	TP73L	8626
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Lung cancer	KRAS;PPP2R1B;SLC22A18;MAP3K8	3845;5519;5002;1326
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Malignant melanoma		
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Melanoma	CDK4;CDKN2A;XRCC3;STK11;BRAF	1019;1029;7517;6794;673
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Multiple myeloma	IRF4;LIG4	3662;3981
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Non-Hodgkin lymphoma	CASP10	843
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Ovarian cancer	BRCA1;MSH2;PIK3CA;MSH6;ERBB2;CDH1;RRAS2;CTNNB1	672;4436;5290;2956;2064;999;22800;1499
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	Pancreatic cancer	ARMET;BRCA2;TP53;SMAD4;CDKN2A;ACVR1B;STK11;KRAS;RBBP8	7873;675;7157;4089;1029;91;6794;3845;5932
Loperamide	For the control and symptomatic relief of acute nonspecific diarrhea and of chronic diarrhea associated with inflammatory bowel disease or gastroenteritis. Also used for reducing the volume of discharge from ileostomies.	CHARGE syndrome	CHD7	55636
Loperamide	For the control and symptomatic relief of acute nonspecific diarrhea and of chronic diarrhea associated with inflammatory bowel disease or gastroenteritis. Also used for reducing the volume of discharge from ileostomies.	Inflammatory bowel disease		
Loracarbef	Used to treat upper respiratory tract bacterial infections, chronic bronchitis, pneumonia, sinusitis, pharyntitis and tonsillitis, skin absceses, urinary tract infections and pyelonephritis caused by E. coli, S. pyogenes, S. aureus, S. saprphyticus, S. penumoniae, H. influenzae and M. catarrhalis.	Chronic infections, due to opsonin defect	MBL2	4153
Loracarbef	Used to treat upper respiratory tract bacterial infections, chronic bronchitis, pneumonia, sinusitis, pharyntitis and tonsillitis, skin absceses, urinary tract infections and pyelonephritis caused by E. coli, S. pyogenes, S. aureus, S. saprphyticus, S. penumoniae, H. influenzae and M. catarrhalis.	Urinary tract infection		
Loratadine	For the relief of nasal and non-nasal symptoms of seasonal allergic rhinitis and for the treatment of chronic idiopathic urticaria in patients 2 years of age or older	Allergic rhinitis	IL13	3596
Losartan	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Loteprednol Etabonate	As an ophthalmic it is used for the treatment of steroid responsive inflammatory conditions of the eye such as allergic conjunctivitis, uveitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, and selected infective conjunctivitides. As a nasal spray, used for the treatment and management of seasonal allergic rhinitis.	Conjunctivitis, ligneous	PLG	5340
Loteprednol Etabonate	As an ophthalmic it is used for the treatment of steroid responsive inflammatory conditions of the eye such as allergic conjunctivitis, uveitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, and selected infective conjunctivitides. As a nasal spray, used for the treatment and management of seasonal allergic rhinitis.	Keratitis	PAX6	5080
Loteprednol Etabonate	As an ophthalmic it is used for the treatment of steroid responsive inflammatory conditions of the eye such as allergic conjunctivitis, uveitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, and selected infective conjunctivitides. As a nasal spray, used for the treatment and management of seasonal allergic rhinitis.	Allergic rhinitis	IL13	3596
Lovastatin	For management as an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels in patients with primary hypercholesterolemia and mixed dyslipidemia;For primary prevention of coronary heart disease	Hypercholesterolemia	APOB;LDLR;PCSK9;LDLRAP1;EPHX2;APOA2;C7orf16;ITIH4	338;3949;255738;26119;2053;336;10842;3700
L-Phenylalanine	L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.	Vitiligo		
L-Threonine	L-Threonine makes up collagen, elastin, and enamel protein. It aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation.	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
L-Threonine	L-Threonine makes up collagen, elastin, and enamel protein. It aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation.	Protein S deficiency	PROS1	5627
L-Tyrosine	Tyrosine is claimed to act as an effective antidepressant, however results are mixed. Tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies.	Narcolepsy	HCRT	3060
L-Valine	Promotes mental vigor, muscle coordination, and calm emotions. May also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria.	Encephalopathy	SERPINI1;COX10	5274;1352
L-Valine	Promotes mental vigor, muscle coordination, and calm emotions. May also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria.	Phenylketonuria	PAH;QDPR;PTS	5053;5860;5805
Magnesium Sulfate	Used for immediate control of life-threatening convulsions in the treatment of severe toxemias (pre-eclampsia and eclampsia)of pregnancy and in the treatment of acute nephritis in children. Also indicated for replacement therapy in magnesium deficiency, especially in acute hypomagnesemia accompanied by signs of tetany similar to those of hypocalcemia. Also used in uterine tetany as a myometriat relaxant.	Convulsions	MASS1	84059
Magnesium Sulfate	Used for immediate control of life-threatening convulsions in the treatment of severe toxemias (pre-eclampsia and eclampsia)of pregnancy and in the treatment of acute nephritis in children. Also indicated for replacement therapy in magnesium deficiency, especially in acute hypomagnesemia accompanied by signs of tetany similar to those of hypocalcemia. Also used in uterine tetany as a myometriat relaxant.	Hypocalcemia	CASR	846
Magnesium Sulfate	Used for immediate control of life-threatening convulsions in the treatment of severe toxemias (pre-eclampsia and eclampsia)of pregnancy and in the treatment of acute nephritis in children. Also indicated for replacement therapy in magnesium deficiency, especially in acute hypomagnesemia accompanied by signs of tetany similar to those of hypocalcemia. Also used in uterine tetany as a myometriat relaxant.	Hypomagnesemia	FXYD2;CLDN16;TRPM6	486;10686;140803
Marinol	For the treatment of anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
Mazindol	Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2)or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.	Body mass index		
Mazindol	Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2)or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.	Factor x deficiency	CFH;MCFD2;F7;F10;F11;F12;F13A1;F13B	3075;90411;2155;2159;2160;2161;2162;2165
Mazindol	Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2)or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.	Hyperlipidemia	USF1	7391
Mazindol	Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2)or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Mazindol	Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2)or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.	MASS syndrome	FBN1	2200
Mazindol	Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2)or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.	Obesity	POMC;MC4R;AKR1C2;NTRK2;AGRP;NR0B2;LEP;LEPR;PPARG;SIM1;UCP3;MC3R;SLC6A14;ADRB2;ADRB3;CART;ENPP1;GHRL;UCP1;UCP2;PCSK1	5443;4160;1646;4915;181;8431;3952;3953;5468;6492;7352;4159;11254;154;155;9607;5167;51738;7350;7351;5122
Mecamylamine	For the treatment of moderately severe to severe essential hypertension and in uncomplicated cases of malignant hypertension	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Mechlorethamine	For the palliative treatment of Hodgkin's disease (Stages III and IV), lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, polycythemia vera, mycosis fungoides, and bronchogenic carcinoma. Also for the palliative treatment of metastatic carcinoma resulting in effusion.	Rapp-Hodgkin syndrome	TP73L	8626
Mechlorethamine	For the palliative treatment of Hodgkin's disease (Stages III and IV), lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, polycythemia vera, mycosis fungoides, and bronchogenic carcinoma. Also for the palliative treatment of metastatic carcinoma resulting in effusion.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Mechlorethamine	For the palliative treatment of Hodgkin's disease (Stages III and IV), lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, polycythemia vera, mycosis fungoides, and bronchogenic carcinoma. Also for the palliative treatment of metastatic carcinoma resulting in effusion.	Polycythemia	VHL;JAK2	7428;3717
Meclofenamate	For the relief of mild to moderate pain, for the treatment of primary dysmenorrhea and for the treatment of idiopathic heavy menstrual blood loss. Also for relief of the signs and symptoms of acute and chronic rheumatoid arthritis and osteoarthritis.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Meclofenamate	For the relief of mild to moderate pain, for the treatment of primary dysmenorrhea and for the treatment of idiopathic heavy menstrual blood loss. Also for relief of the signs and symptoms of acute and chronic rheumatoid arthritis and osteoarthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Medrysone	For the treatment of allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity.	Conjunctivitis, ligneous	PLG	5340
Mefenamic acid	For the treatment of rheumatoid arthritis, osteoarthritis, dysmenorrhea, and mild to moderate pain, inflammation, and fever.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Mefenamic acid	For the treatment of rheumatoid arthritis, osteoarthritis, dysmenorrhea, and mild to moderate pain, inflammation, and fever.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Mefloquine	For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of Plasmodium falciparum (both chloroquine-susceptible and resistant strains) or by Plasmodium vivax. Also for the prophylaxis of Plasmodium falciparum and Plasmodium vivax malaria infections, including prophylaxis of chloroquine-resistant strains of Plasmodium falciparum.	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Mefloquine	For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of Plasmodium falciparum (both chloroquine-susceptible and resistant strains) or by Plasmodium vivax. Also for the prophylaxis of Plasmodium falciparum and Plasmodium vivax malaria infections, including prophylaxis of chloroquine-resistant strains of Plasmodium falciparum.	Vivax malaria		
